time,value
0.000000,1.000000
0.001000,0.999000
0.002000,0.998002
0.003000,0.997004
0.004000,0.996008
0.005000,0.995012
0.006000,0.994018
0.007000,0.993024
0.008000,0.992032
0.009000,0.991040
0.010000,0.990050
0.011000,0.989060
0.012000,0.988072
0.013000,0.987084
0.014000,0.986098
0.015000,0.985112
0.016000,0.984127
0.017000,0.983144
0.018000,0.982161
0.019000,0.981179
0.020000,0.980199
0.021000,0.979219
0.022000,0.978240
0.023000,0.977262
0.024000,0.976286
0.025000,0.975310
0.026000,0.974335
0.027000,0.973361
0.028000,0.972388
0.029000,0.971416
0.030000,0.970446
0.031000,0.969476
0.032000,0.968507
0.033000,0.967539
0.034000,0.966572
0.035000,0.965605
0.036000,0.964640
0.037000,0.963676
0.038000,0.962713
0.039000,0.961751
0.040000,0.960789
0.041000,0.959829
0.042000,0.958870
0.043000,0.957911
0.044000,0.956954
0.045000,0.955997
0.046000,0.955042
0.047000,0.954087
0.048000,0.953134
0.049000,0.952181
0.050000,0.951229
0.051000,0.950279
0.052000,0.949329
0.053000,0.948380
0.054000,0.947432
0.055000,0.946485
0.056000,0.945539
0.057000,0.944594
0.058000,0.943650
0.059000,0.942707
0.060000,0.941765
0.061000,0.940823
0.062000,0.939883
0.063000,0.938943
0.064000,0.938005
0.065000,0.937067
0.066000,0.936131
0.067000,0.935195
0.068000,0.934260
0.069000,0.933327
0.070000,0.932394
0.071000,0.931462
0.072000,0.930531
0.073000,0.929601
0.074000,0.928672
0.075000,0.927743
0.076000,0.926816
0.077000,0.925890
0.078000,0.924964
0.079000,0.924040
0.080000,0.923116
0.081000,0.922194
0.082000,0.921272
0.083000,0.920351
0.084000,0.919431
0.085000,0.918512
0.086000,0.917594
0.087000,0.916677
0.088000,0.915761
0.089000,0.914846
0.090000,0.913931
0.091000,0.913018
0.092000,0.912105
0.093000,0.911194
0.094000,0.910283
0.095000,0.909373
0.096000,0.908464
0.097000,0.907556
0.098000,0.906649
0.099000,0.905743
0.100000,0.904837
0.101000,0.903933
0.102000,0.903030
0.103000,0.902127
0.104000,0.901225
0.105000,0.900325
0.106000,0.899425
0.107000,0.898526
0.108000,0.897628
0.109000,0.896730
0.110000,0.895834
0.111000,0.894939
0.112000,0.894044
0.113000,0.893151
0.114000,0.892258
0.115000,0.891366
0.116000,0.890475
0.117000,0.889585
0.118000,0.888696
0.119000,0.887808
0.120000,0.886920
0.121000,0.886034
0.122000,0.885148
0.123000,0.884264
0.124000,0.883380
0.125000,0.882497
0.126000,0.881615
0.127000,0.880734
0.128000,0.879853
0.129000,0.878974
0.130000,0.878095
0.131000,0.877218
0.132000,0.876341
0.133000,0.875465
0.134000,0.874590
0.135000,0.873716
0.136000,0.872843
0.137000,0.871970
0.138000,0.871099
0.139000,0.870228
0.140000,0.869358
0.141000,0.868489
0.142000,0.867621
0.143000,0.866754
0.144000,0.865888
0.145000,0.865022
0.146000,0.864158
0.147000,0.863294
0.148000,0.862431
0.149000,0.861569
0.150000,0.860708
0.151000,0.859848
0.152000,0.858988
0.153000,0.858130
0.154000,0.857272
0.155000,0.856415
0.156000,0.855559
0.157000,0.854704
0.158000,0.853850
0.159000,0.852996
0.160000,0.852144
0.161000,0.851292
0.162000,0.850441
0.163000,0.849591
0.164000,0.848742
0.165000,0.847894
0.166000,0.847046
0.167000,0.846200
0.168000,0.845354
0.169000,0.844509
0.170000,0.843665
0.171000,0.842822
0.172000,0.841979
0.173000,0.841138
0.174000,0.840297
0.175000,0.839457
0.176000,0.838618
0.177000,0.837780
0.178000,0.836942
0.179000,0.836106
0.180000,0.835270
0.181000,0.834435
0.182000,0.833601
0.183000,0.832768
0.184000,0.831936
0.185000,0.831104
0.186000,0.830274
0.187000,0.829444
0.188000,0.828615
0.189000,0.827787
0.190000,0.826959
0.191000,0.826133
0.192000,0.825307
0.193000,0.824482
0.194000,0.823658
0.195000,0.822835
0.196000,0.822012
0.197000,0.821191
0.198000,0.820370
0.199000,0.819550
0.200000,0.818731
0.201000,0.817912
0.202000,0.817095
0.203000,0.816278
0.204000,0.815462
0.205000,0.814647
0.206000,0.813833
0.207000,0.813020
0.208000,0.812207
0.209000,0.811395
0.210000,0.810584
0.211000,0.809774
0.212000,0.808965
0.213000,0.808156
0.214000,0.807348
0.215000,0.806541
